CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,1,-,-,-,"1,684.05",-,650,"1,544.65","2,096.10","3,380","21,050.00","16,965",38.70,-,-,-,-,-,-,-,-,
,5,-,-,-,"1,776.95",-,"1,755","1,471.55","2,098.00","1,690","21,100.00","1,26,035",92.70,-,-,77.55,78.75,24.18,5,5,5,
,4,1,1,28.97,"1,834.05",-127.25,65,"1,439.70","1,987.55","1,690","21,150.00","11,830",43.90,-,-,-,-,-,-,-,-,
,3,-,-,-,"1,569.50",-,"1,755","1,370.35","1,994.90","1,690","21,200.00","34,580",46.90,-,-,-,-,-,-,-,-,
,4,-,-,-,"1,545.05",-,"1,755","1,273.25","1,872.45","1,690","21,250.00","11,830",50.25,-,-,-,-,-,-,-,-,
,2,-,-,-,"1,600.00",-,650,"1,311.45","1,862.30","1,690","21,300.00","34,970",53.95,-,-,-,-,-,-,-,-,
,1,-,-,-,"1,576.00",73.45,650,"1,260.00","1,777.65","1,690","21,350.00","13,975",58.00,-,-,-,-,-,-,-,-,
,29,1,5,23.63,"1,550.50",131.70,65,"1,355.55","1,816.10","1,690","21,400.00",195,204.55,209.90,65,12.85,204.35,29.42,"2,166",533,582,
,6,1,5,34.24,"1,690.80",348.05,"1,690","1,099.20","1,792.45",650,"21,450.00",65,211.70,222.05,65,69.85,222.10,29.80,763,248,250,
,"3,550",-691,"2,050",28.53,"1,549.00",211.95,65,"1,543.85","1,567.30",65,"21,500.00",585,225.00,228.10,260,-166.25,226.00,29.37,"40,090",-410,"23,742",
,8,7,7,26.98,"1,483.50",160.80,65,"1,008.55","1,709.65","1,690","21,550.00","23,075",81.70,-,-,-,-,-,-,-,-,
,293,25,178,26.64,"1,439.15",199.15,65,"1,430.05","1,501.75",325,"21,600.00",65,239.20,247.40,65,-19.55,243.45,29.00,"3,475","1,504","1,541",
,25,-2,4,26.92,"1,406.20",188.70,65,918.15,"1,645.70","1,690","21,650.00","18,460",116.05,-,-,-,-,-,-,-,-,
,107,-4,81,28.50,"1,398.90",204.90,65,"1,379.45","1,404.05",650,"21,700.00",65,257.80,268.00,65,-192.20,261.55,28.60,"6,495",863,"2,359",
,22,-4,5,28.30,"1,358.70",200.15,65,"1,257.00","1,493.85",650,"21,750.00","18,135",142.80,-,-,-,-,-,-,-,-,
,116,-,79,27.32,"1,303.60",173.40,65,"1,301.00","1,359.75",65,"21,800.00",65,280.80,290.95,65,-199.35,285.00,28.41,"4,560",582,"2,439",
,23,-3,10,26.26,"1,246.70",157.65,65,"1,092.00","1,397.60","1,690","21,850.00","18,070",146.05,334.30,"1,300",-,-,-,-,-,-,
,92,-25,77,26.77,"1,221.40",153.85,65,"1,227.50","1,307.50",325,"21,900.00",65,305.05,313.95,65,-210.25,311.65,28.28,"1,762",177,984,
,27,1,1,25.62,"1,163.05",137.90,650,997.55,"1,273.55",65,"21,950.00",65,225.15,326.35,65,-15.45,324.65,28.17,508,193,197,
,"20,605","-1,199","9,516",27.37,"1,165.00",163.05,65,"1,162.40","1,165.00",65,"22,000.00","2,145",333.00,334.70,65,-223.00,333.00,27.82,"56,342",14,"43,706",
,159,-7,110,26.69,"1,117.00",148.75,65,"1,117.85","1,176.75",65,"22,050.00",65,340.85,352.20,65,-230.75,352.00,27.94,818,3,437,
,963,-70,195,26.50,"1,079.50",134.40,65,"1,081.35","1,108.45",65,"22,100.00",65,350.15,365.00,65,-231.65,360.00,27.54,"3,485",88,"2,118",
,122,-12,84,26.64,"1,049.90",150.15,65,"1,045.60","1,071.05",65,"22,150.00",65,363.40,379.10,65,368.65,379.25,27.63,257,157,157,
,896,-74,448,26.71,"1,019.45",136.95,65,"1,013.50","1,035.60",65,"22,200.00",195,384.45,387.90,65,-249.95,383.95,27.05,"7,676","1,057","3,284",
,381,-12,99,26.02,972.20,118.95,-,-,"1,041.40",65,"22,250.00",65,393.20,409.25,65,-249.90,405.00,27.17,804,-40,553,
,"1,703",-226,802,26.36,948.90,128.30,65,947.20,968.25,65,"22,300.00",65,413.90,419.20,65,-263.45,420.35,27.02,"8,208",414,"7,303",
,195,-77,381,26.20,914.90,122.15,65,911.80,992.70,65,"22,350.00",65,427.25,439.55,65,-141.80,441.00,27.07,677,250,268,
,"5,921",-386,"2,591",26.63,894.95,121.25,65,887.40,895.00,65,"22,400.00",65,447.35,451.00,65,-263.40,452.85,26.73,"7,781",-404,"9,628",
,279,32,411,25.55,840.35,104.25,65,847.70,883.95,65,"22,450.00",65,454.15,472.55,65,449.50,467.55,26.48,499,182,182,
,"23,876","-4,249","26,589",26.32,830.00,117.55,65,824.65,829.95,65,"22,500.00",65,481.85,484.20,195,-275.60,481.20,26.17,"53,579","4,990","42,359",
,711,-104,679,25.95,792.90,110.40,65,783.50,824.95,65,"22,550.00",65,488.65,509.85,65,-275.15,510.50,26.49,955,-255,625,
,"4,703","-1,508","7,476",25.90,764.35,104.15,65,760.85,765.00,650,"22,600.00",65,516.05,521.20,65,-290.25,521.35,26.02,"9,883",111,"6,770",
,"1,076",30,547,25.41,725.55,93.00,65,725.50,740.00,65,"22,650.00",65,529.30,549.00,65,-286.60,547.00,26.14,"1,347",99,"1,121",
,"5,986",557,"8,200",25.45,700.10,83.40,65,700.10,709.25,130,"22,700.00",65,558.40,561.90,65,-288.20,563.00,25.84,"14,543","2,696","8,628",
,"2,364",471,"1,975",25.15,667.15,79.85,65,667.30,680.55,65,"22,750.00",65,570.05,588.85,65,-298.65,583.25,25.69,"3,460",683,"2,707",
,"7,805","3,184","21,909",25.24,644.25,82.50,130,646.50,649.80,65,"22,800.00",65,598.70,604.05,65,-308.85,601.80,25.44,"29,929","3,159","15,793",
,"4,913",338,"2,586",24.90,611.60,75.05,260,612.45,623.30,65,"22,850.00",65,615.15,633.50,65,-308.90,630.75,25.59,"3,093",337,"4,848",
,"6,407","3,124","18,201",25.07,591.95,80.85,65,591.95,594.95,65,"22,900.00",65,638.65,649.25,130,-322.25,638.60,24.86,"20,832","3,216","7,239",
,944,344,"2,170",24.79,562.00,70.65,65,556.80,569.55,65,"22,950.00",65,659.90,680.05,65,-317.15,679.65,25.45,"2,076",285,721,
,"65,107","6,992","74,432",24.67,536.50,66.85,130,535.70,541.35,65,"23,000.00",130,691.30,694.90,65,-327.70,692.40,24.87,"78,287","3,520","74,949",
,"3,158",12,"1,204",24.35,506.65,57.35,65,508.85,518.25,65,"23,050.00",65,707.60,743.80,65,-327.95,727.35,25.16,607,91,"2,918",
,"8,952",-225,"7,405",24.54,490.00,62.20,65,486.80,492.75,130,"23,100.00",130,724.45,742.50,65,-336.95,744.70,24.71,"5,819",-502,"9,630",
,628,-105,601,24.37,465.30,57.65,65,456.80,469.15,65,"23,150.00",65,757.30,777.10,65,-339.25,776.45,24.83,442,-49,704,
,"9,133",-662,"9,293",24.29,443.50,53.30,65,440.35,444.20,65,"23,200.00",130,775.30,794.65,65,-324.75,799.35,24.55,"5,537",-874,"9,649",
,"1,245",509,"1,539",24.09,419.45,45.35,65,412.05,422.15,65,"23,250.00",65,734.30,830.85,65,-341.20,836.30,24.83,346,-130,443,
,"7,088",-615,"8,051",23.85,395.05,42.40,65,395.60,400.35,130,"23,300.00",65,840.00,850.60,130,-339.75,860.20,24.54,"3,624",-907,"6,233",
,"1,027",353,"1,424",23.64,372.00,35.50,65,369.25,380.05,65,"23,350.00",65,786.70,891.30,65,-348.15,891.45,24.53,157,-57,361,
,"6,818",694,"5,684",23.65,355.00,36.05,65,352.80,362.30,130,"23,400.00",65,900.00,912.50,130,-343.00,911.00,23.99,"1,340",-434,"5,827",
,"3,987",754,"1,860",23.37,331.85,26.90,65,329.45,341.50,65,"23,450.00",65,860.50,985.05,65,-340.75,959.35,24.66,81,-10,"3,028",
,"44,448","3,749","53,569",23.38,316.00,28.95,65,315.30,316.00,650,"23,500.00",65,952.95,975.75,65,-362.45,960.00,23.23,"10,886",-264,"25,100",
,"2,725",124,708,23.36,300.00,30.35,65,293.00,302.40,65,"23,550.00",65,916.55,"1,013.00",130,-353.60,"1,020.40",24.40,77,30,"2,459",
,"4,190",255,"4,123",23.06,278.65,22.20,65,279.10,284.10,130,"23,600.00",65,"1,019.60","1,044.75",65,-361.00,"1,047.35",24.06,473,-92,"2,249",
,537,204,718,22.97,262.40,17.85,65,258.40,267.85,65,"23,650.00",65,"1,050.90","1,078.70",65,-333.00,"1,077.50",23.84,89,-48,392,
,"4,671",859,"6,644",22.60,241.15,13.10,325,242.15,249.15,65,"23,700.00",65,"1,075.35","1,110.35",65,-352.40,"1,111.90",23.78,538,-109,"1,303",
,515,54,653,22.59,228.05,12.95,65,224.70,235.65,65,"23,750.00",65,"1,037.45","1,205.05",65,-340.55,"1,165.95",24.62,29,-11,571,
,"7,537","1,335","13,611",22.70,217.80,15.00,65,214.10,217.20,65,"23,800.00",65,"1,137.70","1,178.45",65,-374.90,"1,170.85",23.09,697,-272,"3,065",
,411,-48,"1,077",22.51,202.25,10.75,65,199.30,205.60,65,"23,850.00",65,"1,175.40","1,213.40",65,-251.65,"1,215.75",23.45,181,-143,303,
,"2,339",163,"4,577",22.32,187.40,6.70,65,186.30,189.95,65,"23,900.00",65,"1,221.70","1,251.00",65,-374.60,"1,240.95",22.80,225,-25,"1,403",
,632,5,725,22.17,173.85,3.85,65,167.40,180.90,65,"23,950.00",650,"1,111.55","1,513.60","1,755",-312.10,"1,257.70",21.61,94,-69,234,
,"54,681",-307,"69,513",22.24,165.00,4.55,520,163.70,164.90,260,"24,000.00",65,"1,294.65","1,314.95",130,-391.80,"1,301.00",21.81,"12,829","-2,279","29,764",
,612,81,955,21.99,150.95,0.30,65,144.85,155.05,65,"24,050.00",650,"1,157.60","1,592.10",65,-352.05,"1,252.00",15.94,25,-25,362,
,"7,936",62,"5,229",22.00,142.15,-1.35,65,140.00,142.45,65,"24,100.00",130,"1,352.50","1,414.65",65,-380.15,"1,374.80",21.39,75,-57,"6,038",
,649,119,"1,045",21.80,130.15,-2.70,65,125.75,134.80,65,"24,150.00",65,"1,222.95","1,764.90","1,690",-338.35,"1,468.30",24.46,12,-2,407,
,"6,017","1,029","8,805",21.80,122.05,-4.05,650,120.00,122.45,65,"24,200.00",130,"1,441.15","1,481.85",65,-357.70,"1,503.00",24.14,403,-104,"2,430",
,886,65,"1,440",21.79,114.30,-1.45,65,112.00,114.55,650,"24,250.00",65,"1,301.85","1,772.90",65,-418.55,"1,516.45",22.46,13,-8,255,
,"4,937","1,017","8,375",21.59,104.00,-5.20,195,102.45,104.20,"1,560","24,300.00",65,"1,515.30","1,564.30",65,-379.35,"1,572.30",23.35,68,-23,"2,219",
,613,-16,"1,335",21.45,95.35,-6.00,65,95.35,97.85,65,"24,350.00",650,"1,414.10","1,623.00",65,-317.15,"1,570.00",20.23,2,-,313,
,"5,150",229,"7,331",21.30,86.90,-9.45,65,86.90,88.40,65,"24,400.00",65,"1,575.60","1,657.05",260,-343.75,"1,662.55",23.74,30,-12,"4,969",
,607,103,"1,167",21.37,82.00,-6.85,65,80.55,82.00,65,"24,450.00",650,"1,505.90","1,938.10",650,-,"1,970.65",-,-,-,168,
,"37,443","1,903","54,793",21.36,76.20,-9.20,195,75.50,76.45,260,"24,500.00",130,"1,710.00","1,726.60",65,-381.50,"1,733.00",22.66,"2,979",-453,"16,538",
,493,9,654,21.15,68.50,-9.65,390,68.50,74.10,65,"24,550.00","1,690","1,599.95","2,052.15",65,-183.90,"1,801.10",24.45,1,-1,116,
,"5,108",425,"5,624",21.22,64.45,-9.45,65,63.35,64.45,65,"24,600.00",65,"1,727.85","1,823.35",325,-352.35,"1,837.55",23.95,185,-54,"4,593",
,347,-46,236,21.09,58.50,-10.40,65,55.05,60.20,65,"24,650.00",650,"1,698.70","2,122.65",260,-170.25,"1,848.60",21.20,1,-1,150,
,"4,977",463,"7,292",21.88,62.50,-2.20,"1,040",54.10,56.25,65,"24,700.00",650,"1,797.65","1,985.90",325,-374.95,"1,915.00",23.10,28,4,"2,888",
,528,130,915,21.10,50.35,-11.20,195,50.00,51.45,65,"24,750.00",65,"1,796.55","2,200.50",910,-320.85,"1,980.00",24.79,12,-10,160,
,"4,823",176,"6,866",21.12,46.85,-9.90,195,46.30,47.60,195,"24,800.00",65,"1,930.55","1,999.40",65,-360.15,"1,985.00",21.16,24,-9,"4,453",
,256,-71,517,21.16,43.70,-9.75,650,39.90,44.45,195,"24,850.00","1,755","1,877.60","2,310.95","1,755",-107.85,"2,092.15",26.66,39,-30,113,
,"4,002",703,"6,342",21.21,40.85,-9.55,65,39.50,41.10,130,"24,900.00",130,"2,043.50","2,092.70",65,-415.40,"2,060.00",18.77,38,10,"3,017",
,407,86,650,21.21,37.75,-10.25,910,34.30,43.55,910,"24,950.00",650,"1,827.40","2,393.10",650,-,"1,940.00",-,-,-,44,
,"42,763","3,737","52,882",21.21,34.90,-10.30,520,34.90,35.10,195,"25,000.00",130,"2,168.00","2,176.95",65,-414.25,"2,170.00",21.05,"7,892","-5,312","30,484",
,454,94,728,21.18,32.00,-8.95,65,30.00,35.50,650,"25,050.00",650,"2,060.35","2,464.50","1,755",-358.10,"2,240.90",23.93,1,-,45,
,"2,626",801,"4,077",21.18,29.50,-10.00,195,29.25,30.50,65,"25,100.00",130,"2,184.50","2,499.00","1,690",-550.35,"2,080.00",-,25,12,902,
,259,-23,203,21.33,28.15,-9.70,650,24.85,30.25,650,"25,150.00",65,"2,256.00","2,608.55",65,-285.00,"2,325.00",22.93,5,-4,80,
,"2,901",264,"5,276",21.22,25.25,-9.75,195,25.25,26.50,325,"25,200.00",65,"2,279.85","2,381.65",325,-315.70,"2,398.15",25.96,41,-6,"1,420",
,309,38,246,21.20,23.15,-10.95,390,23.20,24.95,325,"25,250.00","1,755","2,091.85","2,727.50","1,690",-,"2,678.70",-,-,-,138,
,"2,533",212,"3,700",21.35,22.10,-9.65,520,22.10,23.10,195,"25,300.00",65,"2,333.70","2,512.90",325,-322.00,"2,498.65",26.86,29,-13,502,
,176,51,240,21.44,20.80,-9.90,650,19.10,23.40,65,"25,350.00","1,755","2,350.35","2,825.75","1,690",-299.70,"2,445.30",-,3,-2,72,
,"1,990",-112,"4,207",21.43,19.05,-9.30,390,19.15,20.45,195,"25,400.00",65,"2,515.65","2,563.45",65,-354.70,"2,575.00",24.98,98,-5,"1,184",
,386,49,219,21.83,19.45,-8.85,650,17.05,20.35,65,"25,450.00","1,755","2,450.60","2,954.80","1,690",-,"2,897.00",-,-,-,139,
,"22,039","1,274","21,127",21.70,17.30,-6.95,"1,170",17.20,17.30,"2,600","25,500.00",65,"2,630.50","2,651.75",130,-412.65,"2,650.75",21.87,753,-62,"11,088",
,340,-9,280,21.91,16.80,-6.90,"2,210",14.10,48.15,65,"25,550.00",65,"2,405.15","3,096.10","1,690",-91.30,"2,909.75",41.37,6,-2,100,
,"1,819",74,"2,612",21.87,15.30,-7.85,130,15.30,16.25,195,"25,600.00",65,"2,616.40","2,838.40",260,-311.55,"2,785.40",27.90,52,-5,842,
,232,27,217,22.16,15.20,-6.90,65,13.75,34.00,65,"25,650.00","1,755","2,654.60","3,144.55",65,-,"3,000.00",-,-,-,117,
,"2,608",278,"3,386",22.29,14.50,-6.50,65,14.00,14.75,195,"25,700.00",65,"2,756.00","2,912.10",260,-345.50,"2,883.70",28.51,50,-27,919,
,284,-76,267,22.32,13.45,-7.85,910,12.60,40.00,65,"25,750.00","1,755","2,763.90","3,180.30","1,690",-438.30,"2,831.70",-,2,-2,43,
,"2,646",20,"6,778",22.90,14.50,-4.65,65,12.80,14.50,585,"25,800.00",65,"2,737.40","2,971.25",195,-361.15,"2,959.00",25.79,155,-11,"1,231",
,254,11,48,22.63,12.40,-5.85,"1,300",11.15,14.30,65,"25,850.00","1,755","2,823.05","3,336.90","1,690",-,"3,130.00",-,-,-,56,
,"1,418",157,"1,966",22.66,11.50,-6.15,195,11.50,12.40,65,"25,900.00",260,"2,999.25","3,102.20",260,-268.70,"3,063.70",27.35,88,1,306,
,483,24,120,23.33,12.80,-5.20,"1,300",10.45,19.00,325,"25,950.00","1,690","2,892.80","3,410.80","1,690",-,"3,100.00",-,-,-,60,
,"50,554","3,103","36,954",23.13,11.15,-5.45,65,11.15,11.25,65,"26,000.00",65,"3,129.20","3,143.35",65,-363.60,"3,156.70",26.95,"2,220",-588,"27,468",
,333,23,80,22.88,9.55,-5.60,"1,300",9.30,13.75,65,"26,050.00","1,755","3,026.40","3,535.40","1,690",-,"3,350.00",-,-,-,38,
,"1,344",-41,"1,033",23.58,10.75,-4.10,390,9.55,16.15,260,"26,100.00",65,"3,111.35","3,331.80",715,-83.35,"3,553.85",-,-,-,528,
,202,44,105,23.74,10.40,-3.95,130,9.00,10.40,585,"26,150.00","1,690","3,151.30","3,539.35",65,-,"3,347.55",-,-,-,13,
,"4,547",201,"5,356",23.30,8.40,-4.20,130,8.35,10.05,65,"26,200.00",65,"3,250.70","3,382.95",130,-323.20,"3,384.45",32.59,78,-5,"4,327",
,202,65,112,23.90,9.25,-4.00,65,8.10,11.50,325,"26,250.00","1,690","3,182.55","3,740.70","1,430",-,"3,000.00",-,-,-,62,
,"1,165",254,"1,501",23.62,7.85,-4.15,390,7.90,8.35,65,"26,300.00",65,"3,314.15","3,530.00",130,-550.25,"3,240.00",-,5,-4,672,
,154,48,137,23.83,7.70,-3.05,"1,300",7.05,11.40,65,"26,350.00","1,690","3,319.30","3,783.50","1,690",-,"3,321.50",-,-,-,93,
,"1,659",528,"2,360",24.23,8.00,-3.95,455,7.20,7.95,195,"26,400.00",65,"3,389.85","3,786.35",130,-488.75,"3,400.00",-,3,-3,460,
,145,4,18,24.08,7.05,-3.55,"1,560",7.00,13.00,65,"26,450.00","1,690","3,322.90","4,170.65","1,690",-,"3,440.00",-,-,-,9,
,"11,300",141,"12,348",24.18,6.70,-3.45,520,6.70,7.00,325,"26,500.00",325,"3,608.35","3,636.90",65,-377.65,"3,648.45",29.16,"1,295",-78,"7,514",
,151,4,73,24.44,6.70,-3.95,"1,300",6.20,13.40,"1,170","26,550.00","1,690","3,438.50","3,953.20","1,690",-,"3,475.00",-,-,-,15,
,652,-62,558,24.48,6.25,-4.35,"1,560",6.10,7.20,65,"26,600.00",650,"3,659.50","3,793.15",65,-361.25,"3,700.00",-,7,6,249,
,97,-5,128,24.53,5.85,-6.90,"1,755",5.15,8.90,130,"26,650.00","1,690","3,525.95","4,443.90","1,690",5.40,"2,554.25",-,-,-,8,
,"1,473",75,874,24.97,6.20,-3.40,455,6.20,6.25,195,"26,700.00",65,"3,711.95","4,199.50",910,-500.00,"3,680.00",-,1,-1,87,
,55,1,79,24.96,5.70,-3.40,650,5.70,14.70,"2,210","26,750.00","1,690","3,603.75","4,462.50","1,690",-,"3,017.45",-,-,-,14,
,"1,899",475,"2,540",25.04,5.40,-3.05,715,5.40,5.50,195,"26,800.00",65,"3,854.00","3,981.20",65,-,"4,150.00",-,-,-,99,
,94,37,148,25.11,5.10,-4.20,"1,755",4.65,11.70,"1,170","26,850.00","1,690","3,710.60","4,527.85","1,690",-,"2,718.30",-,-,-,5,
,802,152,827,25.36,5.10,-3.00,195,5.05,5.10,65,"26,900.00",65,"3,915.10","4,323.75","1,690",-350.20,"4,005.00",-,7,-1,21,
,184,119,356,25.36,4.70,-4.70,195,4.70,8.95,65,"26,950.00","1,690","3,924.50","4,431.60","1,690",-130.00,"4,110.00",34.77,85,-70,15,
,"18,726",336,"12,143",25.50,4.55,-2.10,260,4.30,4.50,195,"27,000.00",130,"4,093.70","4,111.00",325,-386.75,"4,115.00",-,"4,841",530,"16,941",
,241,76,239,26.05,5.00,-2.60,130,4.30,5.00,390,"27,050.00","1,690","3,877.35","4,941.50","1,755",-,"1,896.80",-,-,-,6,
,979,287,"1,682",25.89,4.40,-2.90,"5,265",4.20,4.50,"1,300","27,100.00",65,"4,100.45","4,391.90",65,-,"4,332.75",-,-,-,14,
,305,12,28,26.54,5.00,-2.25,195,4.00,5.00,455,"27,150.00","1,690","3,969.65","5,052.75","1,755",5.50,"1,454.85",-,-,-,6,
,346,-21,367,26.00,3.90,-2.45,325,3.95,4.35,"1,300","27,200.00",65,"4,198.30","4,642.65",910,224.70,"4,252.45",-,1,-,15,
,101,34,67,26.04,3.65,-2.60,"3,315",3.10,8.60,910,"27,250.00","1,690","4,072.50","4,982.20","1,690",-,"3,108.15",-,-,-,1,
,"1,434",305,654,26.56,4.00,-2.90,130,3.80,4.00,520,"27,300.00",65,"4,318.25","4,490.05",65,-320.55,"4,438.65",32.87,3,-,36,
,259,126,356,26.21,3.30,-3.20,"1,755",3.30,4.50,"1,755","27,350.00","1,690","4,139.15","5,103.25","1,690",-,"3,204.75",-,-,-,1,
,"1,533",129,"1,213",26.87,3.80,-2.30,390,3.50,3.80,"1,105","27,400.00",65,"4,354.25","4,868.05","1,690",29.25,"4,420.00",-,26,-23,26,
,77,20,22,26.86,3.50,-3.50,"1,755",2.90,3.75,195,"27,450.00","1,690","4,172.20","5,203.30","1,690",-,"3,304.75",-,-,-,1,
,"7,170",144,"3,814",26.68,3.05,-1.30,130,3.05,3.20,"2,080","27,500.00",65,"4,589.80","4,634.00",65,-385.40,"4,611.75",-,796,-114,"5,072",
,385,193,278,26.86,3.00,-1.75,195,3.05,4.20,"1,755","27,550.00","1,690","4,347.10","5,103.15","1,690",-,"4,148.60",-,-,-,3,
,461,232,958,27.33,3.25,-1.55,"1,755",2.70,3.20,195,"27,600.00","1,690","4,393.10","5,195.35","1,690",-,"4,900.00",-,-,-,16,
,744,138,876,27.31,3.00,-2.05,"1,755",2.70,3.60,390,"27,650.00","1,690","4,361.50","5,250.80","1,690",-,"5,000.00",-,-,-,1,
,"5,149",422,"2,748",27.17,2.65,-1.60,390,2.65,3.00,"1,755","27,700.00","1,690","4,647.15","5,184.40","1,690",-356.10,"4,811.60",-,14,-4,168,
