CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,-,-,-,-,-,-,-,-,-,-,"21,900.00","2,860",199.85,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,-,-,"21,950.00","1,560",215.90,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,-,-,"22,000.00",325,232.85,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,-,-,"22,050.00","1,300",221.30,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,-,-,"22,100.00","1,300",201.10,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,-,-,"22,150.00","1,300",205.10,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,-,-,"22,200.00",650,221.20,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,-,-,"22,250.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,-,-,"22,300.00",65,292.00,-,-,94.25,290.10,19.55,1,1,1,
,-,-,-,-,-,-,-,-,-,-,"22,350.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,260,946.50,982.70,195,"22,400.00",260,381.15,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,260,907.95,968.80,195,"22,450.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,65,389.25,-,-,"22,500.00",650,380.10,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,260,844.05,910.50,195,"22,550.00",650,405.30,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,195,811.35,850.50,195,"22,600.00",260,396.60,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,260,786.95,825.55,195,"22,650.00",325,301.10,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,195,284.75,795.15,195,"22,700.00",260,580.35,606.85,65,278.80,603.00,25.24,6,6,6,
,-,-,-,-,-,-,195,719.75,767.40,195,"22,750.00",325,301.20,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,195,259.80,736.60,195,"22,800.00",65,614.15,640.00,65,276.05,640.00,24.84,21,18,18,
,-,-,-,-,-,-,-,-,-,-,"22,850.00",260,629.30,-,-,-,-,-,-,-,-,
,21,18,39,23.51,645.00,56.00,65,646.50,674.85,65,"22,900.00",260,650.15,877.80,65,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,654.40,195,"22,950.00",325,251.20,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,195,183.85,625.00,195,"23,000.00",325,331.20,768.10,65,-,-,-,-,-,-,
,-,-,-,-,-,-,195,50.15,601.80,195,"23,050.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,195,45.15,-,-,"23,100.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,195,40.15,553.60,195,"23,150.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,195,32.55,525.85,195,"23,200.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,195,28.55,504.65,195,"23,250.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,195,200.35,-,-,"23,300.00",-,-,-,-,-,-,-,-,-,-,
,2,2,4,24.82,488.60,96.30,130,417.80,459.80,195,"23,350.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,260,20.15,441.25,195,"23,400.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,260,20.15,421.80,260,"23,450.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,260,82.90,392.50,260,"23,500.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,325,20.15,378.60,910,"23,550.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,325,20.15,359.00,650,"23,600.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,650,62.50,345.05,455,"23,650.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,910,20.15,323.15,455,"23,700.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,390,20.15,-,-,"23,750.00",-,-,-,-,-,-,-,-,-,-,
,48,16,83,21.85,267.00,25.30,130,260.80,273.20,65,"23,800.00",-,-,"1,390.00",65,-,-,-,-,-,-,
,-,-,-,-,-,-,390,42.10,-,-,"23,850.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,455,179.55,260.40,520,"23,900.00",-,-,"1,414.00",65,-,900.00,-,-,-,1,
,-,-,-,-,-,-,"1,300",20.10,247.70,325,"23,950.00",-,-,-,-,-,-,-,-,-,-,
,95,94,144,21.48,209.70,88.70,65,208.60,215.00,65,"24,000.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,325,26.30,219.85,325,"24,050.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,325,24.75,205.15,325,"24,100.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,325,20.15,-,-,"24,150.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"1,300",20.10,-,-,"24,200.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"1,300",20.10,173.15,910,"24,250.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,455,18.15,159.70,910,"24,300.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,65,56.60,-,-,"24,350.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"1,300",15.20,142.20,325,"24,400.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,260,21.00,-,-,"24,450.00",-,-,-,-,-,-,-,-,-,-,
,17,17,17,21.10,113.35,18.10,65,100.35,160.90,65,"24,500.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"1,560",38.00,-,-,"24,550.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"1,560",28.00,110.50,520,"24,600.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"1,560",31.00,-,-,"24,650.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"1,560",30.50,99.15,910,"24,700.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"1,560",25.00,-,-,"24,750.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"1,560",38.00,88.10,455,"24,800.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"1,560",28.00,-,-,"24,850.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"1,560",35.00,78.25,910,"24,900.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"1,560",40.00,-,-,"24,950.00",-,-,-,-,-,-,-,-,-,-,
,126,57,187,20.63,54.80,-9.40,130,54.55,57.60,65,"25,000.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"1,560",25.00,-,-,"25,050.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"1,560",21.00,-,-,"25,100.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"1,560",21.00,-,-,"25,150.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"1,560",21.00,-,-,"25,200.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"1,560",21.00,-,-,"25,250.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"1,560",21.00,-,-,"25,300.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"1,560",21.00,-,-,"25,350.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"1,560",21.00,-,-,"25,400.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"1,560",21.00,-,-,"25,450.00",-,-,-,-,-,-,-,-,-,-,
,76,71,126,20.94,28.80,1.00,130,30.20,31.00,260,"25,500.00",-,-,-,-,-,-,-,-,-,-,
